,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated, Losses $USD, Losses $Local, Damages in crops Ha., Duration (d), Education, Agriculture, Health sector, Water supply, Communications, Transportation, Power and Energy, Relief,Country, Education centers, Hospitals,Updated Event Name,Mapped Event Categories
0,1966/01,FIRE,2,0,1,0,10,0,0,0,0,0,0,460000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
1,1966/02,FIRE,2,0,0,0,1,1,0,1,0,0,0,40000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
2,1966/03,FIRE,3,1,0,0,88,0,1200,0,0,0,0,180000,0,3,0,1,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
4,1966/05,FIRE,2,0,0,0,1,1,0,0,0,0,0,2000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
5,1966/06,FIRE,4,0,0,0,5,2,0,0,0,0,0,27600,0,4,0,1,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
6,1966/07,FLOOD,1,0,0,0,0,1,0,0,0,0,0,200000,0,1,0,0,0,1,0,0,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
8,1966/08,FIRE,4,0,0,0,10,4,0,0,0,0,0,500000,0,4,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
9,1966/09,FIRE,3,0,0,0,3,1,0,0,0,0,0,73000,0,3,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
10,1966/09,FLOOD,1,20,0,0,0,0,0,0,0,0,0,200000,0,1,0,1,0,0,0,0,1,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
11,1966/09,SURGE,1,0,0,0,8,0,0,0,0,0,0,200000,0,1,0,1,0,0,0,1,0,0,Dominican Republic,0,0,STORM SURGE,HYDROLOGICAL
12,1966/10,FIRE,2,1,0,0,2,0,0,0,0,0,0,300,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
13,1966/12,FIRE,1,0,0,0,3,1,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
15,1967/01,EXPLOSION,1,1,2,0,1,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EXPLOSION,EXPLOSION
17,1967/02,EPIDEMIC,1,3,2,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EPIDEMIC,HEALTH
18,1967/03,FIRE,1,0,0,0,0,0,0,0,0,0,0,25000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
19,1967/04,EXPLOSION,1,0,2,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EXPLOSION,EXPLOSION
20,1967/04,FIRE,1,0,1,0,1,0,0,2,0,0,0,50000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
22,1967/05,FIRE,1,0,0,0,1,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
23,1967/05,STRONGWIND,1,0,0,0,20,0,150,0,0,0,0,10000,0,1,0,1,0,0,1,1,1,1,Dominican Republic,0,0,STORM,HYDROLOGICAL
27,1967/08,FIRE,1,0,2,0,0,0,0,70,0,0,0,250000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
28,1967/08,INTOXICACIÓN,1,24,120,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,OTHER,TECHNICAL
30,1967/09,FIRE,1,0,0,0,0,0,0,0,0,0,0,160000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
31,1967/09,FLOOD,1,0,0,0,0,0,0,0,0,350000,0,200000,0,1,0,0,0,0,0,1,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
34,1967/09,STRUCTURE,1,0,3,0,2,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,STRUCTURE,TECHNICAL
35,1967/10,EXPLOSION,1,1,3,0,1,1,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EXPLOSION,EXPLOSION
36,1967/10,HAILSTORM,1,0,0,0,20,0,0,0,0,0,0,200000,0,1,0,0,0,1,0,0,1,0,Dominican Republic,0,0,HAILSTORM,HYDROLOGICAL
37,1967/10,INTOXICACIÓN,1,2,20,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,OTHER,TECHNICAL
38,1967/11,FIRE,1,0,2,0,0,0,0,0,0,0,0,2000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
39,1967/12,ACCIDENT,1,0,5,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,ACCIDENT,TECHNICAL
40,1967/12,FIRE,1,0,0,0,0,1,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
42,1968/01,EXPLOSION,2,0,20,0,0,0,0,0,0,0,0,200000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EXPLOSION,EXPLOSION
43,1968/01,FIRE,3,1,2,0,0,0,0,0,0,0,0,200000,0,3,0,2,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
46,1968/02,EXPLOSION,2,0,2,0,0,0,0,0,0,0,0,200000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EXPLOSION,EXPLOSION
47,1968/02,FIRE,3,0,0,0,34,0,175,0,0,0,0,1200,0,3,0,2,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
49,1968/02,INTOXICACIÓN,4,6,64,0,0,0,0,0,0,0,0,200000,0,4,0,0,0,0,0,0,0,0,Dominican Republic,0,0,OTHER,TECHNICAL
50,1968/02,SURGE,1,0,0,0,0,0,0,0,0,130,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,STORM SURGE,HYDROLOGICAL
52,1968/03,FIRE,1,1,0,0,1,0,2,0,0,0,0,150,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
56,1968/04,ACCIDENT,1,2,1,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,ACCIDENT,TECHNICAL
58,1968/04,EPIDEMIC,1,0,15,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EPIDEMIC,HEALTH
59,1968/04,FIRE,5,0,0,0,12,0,0,0,0,0,0,4100,0,5,1,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
62,1968/05,DROUGHT,4,0,0,0,0,0,0,81000,0,0,0,200000,0,16,0,2,0,0,0,0,0,0,Dominican Republic,0,0,DROUGHT,NATURAL DISASTERS
63,1968/05,FIRE,5,1,2,0,11,0,40,110,0,0,0,101250,0,5,0,1,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
64,1968/05,FLOOD,2,2,5,0,0,0,0,2,0,0,0,4000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
66,1968/05,STRONGWIND,1,0,0,0,12,0,60,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,STORM,HYDROLOGICAL
68,1968/06,FIRE,1,0,5,0,1,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
69,1968/06,FLOOD,2,0,0,0,0,0,40,0,0,0,0,200000,0,2,0,1,0,1,1,2,0,0,Dominican Republic,0,0,FLOOD,HYDROLOGICAL
70,1968/06,STRONGWIND,1,2,40,0,32,0,0,0,0,0,0,10000,0,1,0,1,1,0,1,1,0,1,Dominican Republic,0,0,STORM,HYDROLOGICAL
71,1968/07,ACCIDENT,2,2,2,0,0,0,0,3,0,0,0,200000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,ACCIDENT,TECHNICAL
72,1968/07,EXPLOSION,2,2,3,0,0,0,0,0,0,0,0,200000,0,2,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EXPLOSION,EXPLOSION
73,1968/07,FIRE,1,0,0,0,0,0,0,0,0,0,0,400,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
76,1968/07,STRONGWIND,2,0,0,0,8,2,0,0,0,0,0,1000000,0,2,0,1,0,0,1,1,1,0,Dominican Republic,0,0,STORM,HYDROLOGICAL
77,1968/08,DROUGHT,4,0,0,0,0,0,0,2500,0,0,0,200000,0,4,0,3,1,0,0,0,0,0,Dominican Republic,0,0,DROUGHT,NATURAL DISASTERS
78,1968/08,ELECTRICSTORM,1,2,7,0,1,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,STORM,HYDROLOGICAL
79,1968/08,EPIDEMIC,1,7,0,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EPIDEMIC,HEALTH
81,1968/08,INTOXICACIÓN,1,0,15,0,0,0,0,0,0,0,0,200000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,OTHER,TECHNICAL
83,1968/09,FIRE,1,0,0,0,0,0,0,0,0,0,0,5000,0,1,0,0,0,0,0,0,0,0,Dominican Republic,0,0,FIRE,EXPLOSION
85,1968/09,RAIN,1,0,0,0,0,0,0,0,0,0,0,1000,0,1,0,0,0,1,0,0,0,0,Dominican Republic,0,0,RAIN,HYDROLOGICAL
86,1968/10,EPIDEMIC,3,2,0,0,0,0,0,0,0,0,0,200000,0,3,0,0,0,0,0,0,0,0,Dominican Republic,0,0,EPIDEMIC,HEALTH
